Question
Provide the list of Top 10 consumed OEM part under  Repair  from 01-Jan-2024 to 31-dec-2024
List the Top 10 Dealers with highest OEM part consumption under Pre-Sale/PDI from 01-Jan-2024 to 31-dec-2024
Give the Word Cloud for the Area Office (Delaer Area Office)  for the period 01-Jan-2024 to 31-Mar-2024   
Give customer verbatim for those ROs which took more than 72 hours
Provide the list of Top 10 consumed OEM part under Repair from 01-Jan-2024 to 31-dec-2024
